Grand Central - 42nd St,POINT (-73.9767132992584 40.75180742981634)
Herald Sq - 34th St,POINT (-73.9879368338264 40.74964456009442)
42nd St - Port Authority Bus Term,POINT (-73.98973500085859 40.757307998551504)
Penn 34,POINT (-73.99105699913983 40.75037300003949)
Union Sq - 14th St,POINT (-73.99066976901818 40.73476331217923)
Times Sq - 42nd St,POINT (-73.98676800153976 40.75461199851542)
Flushing - Main St,POINT (-73.83003000262508 40.75959999915012)
59th St - Columbus Circle,POINT (-73.98164872301398 40.768249531776064)
Fulton St,POINT (-74.00793800110387 40.71002266658424)
47th-50th Sts - Rockefeller Ctr,POINT (-73.98133100227702 40.75864100159815)
,
,
,
,
,
,
,
,
,
,
,