14 ST-UNION SQ,LNQR456W,7,POINT (-73.99053886181645 40.73587226699812)
34 ST-HERALD SQ,BDFMNQRW,7,POINT (-73.98777189072918 40.74978939990011)
34 ST-PENN STA,123ACE,5,POINT (-73.99105699913983 40.75037300003949)
34 ST-PENN STA,ACE,6,POINT (-73.99105699913983 40.75037300003949)
42 ST-BRYANT PK,BDFM7,3,POINT (-73.98459099904711 40.754184001312545)
42 ST-PORT AUTH,ACENQRS1237W,7,POINT (-73.98973500085859 40.757307998551504)
47-50 STS ROCK,BDFM,5,POINT (-73.98133100227702 40.75864100159815)
59 ST,456NQRW,3,POINT (-74.01788099953987 40.6413616662838)
59 ST COLUMBUS,ABCD1,5,POINT (-73.98164872301398 40.768249531776064)
86 ST,456,4,POINT (-73.97621799859327 40.78864400073892)
CANAL ST,JNQRZ6W,5,POINT (-73.99982638545937 40.71817387697391)
FLUSHING-MAIN,7,5,POINT (-73.83003000262508 40.75959999915012)
FULTON ST,2345ACJZ,5,POINT (-74.00793800110387 40.71002266658424)
GRD CNTRL-42 ST,4567S,7,POINT (-73.9767132992584 40.75180742981634)
JAY ST-METROTEC,ACF,2,POINT (-73.98721815267317 40.692470636847084)
JKSN HT-ROOSVLT,EFMR7,5,POINT (-73.89129866519697 40.74653969115889)
LEXINGTON AV/53,EM6,5,POINT (-73.96907237490204 40.75746830782865)
PATH NEW WTC,1,5,POINT (-74.00974461517701 40.71256392680817)
TIMES SQ-42 ST,1237ACENQRSW,6,POINT (-73.98676800153976 40.75461199851542)
W 4 ST-WASH SQ,ABCDEFM,3,POINT (-74.00030814755975 40.732254493367876)